"Date   : 29-07-20 [10:19, Asi]                        Open Entries by Business Partner                                                                                Page      :    1",,,,,,,,,,,,
Obeikan FLEXIBLE                                                                                                                                                      Company   : 103,,,,,,,,,,,,
Company              From : 000           To   : 999         Business Partner Gr.     From :       To   : ннн       Credit Analyst       From :           To   : ннннннннн,,,,,,,,,,,,
Business Partner     From : CMA012        To   : CMA012      Transaction Type         From :       To   : ннн,,,,,,,,,,,,
Document             From :        0      To   : 99999999    Home Currency                 : SAR Saudi Riyal,,,,,,,,,,,,
Based  on                   Document Date                    Print Parent/Child Relation   : No Parent                 Doubtful Invoices                      : No,,,,,,,,,,,,
Invoice Date         From :               To   : 29-07-2020  Text                          : No                        Print Payment/Receipt Documents        : No,,,,,,,,,,,,
Receipt Date         From :               To   : 29-07-2020  Include Anticipated Payments in Invoice Balance         : No              From    : Not Applicable,,,,,,,,,,,,
Order Related Invoices    : No       None,,,,,,,,,,,,
Order Related Credit Notes: No                               Include Trade Notes in Invoice Balance                  : No              From    : Not Applicable,,,,,,,,,,,,
Cost Invoices             : No                               Anticipated Payments                                    : No              From    : Not Applicable,,,,,,,,,,,,
Cost Credit Notes         : No                               Trade Notes                                             : No              From    : Not Applicable,,,,,,,,,,,,
Normal Invoices           : Yes                              Unallocated Receipts          : Yes,,,,,,,,,,,,
Credit Notes              : Yes                              Advance Receipts              : Yes,,,,,,,,,,,,
Include Fully Paid        : No                               Include Advance Invoice/Payment Request           : Yes,,,,,,,,,,,,
Anticipated Receipts      : No                               From Receipt Procedure Step    : Not Applicable,,,,,,,,,,,,
Trade Notes               : No                               From Receipt Procedure Step    : Not Applicable,,,,,,,,,,,,
Include Anticipated Receipts in Invoice Balance    : No      From Receipt Procedure Step    : Not Applicable,,,,,,,,,,,,
Include Trade Notes in Invoice Balance             : No      From Receipt Procedure Step    : Not Applicable,,,,,,,,,,,,
Sort By         Dimension Type            :  1,,,,,,,,,,,,
____________________________________________________________________________________________________________________________________________________________________________________________,,,,,,,,,,,,
Document                 ,Sales Type  ,Doc. Date   ,Due Date    ,Ovd  ,Prob,Curr.,          Amount,     Amount In SAR,   Balance Amount,  Balance in HC SAR,Customer Invoice/Pmt Doc Type,
Sales Invoices        Business Partner    : CMA012               AL MARAI COMPANY,,,,,,,,,,,,
                                                                 PO BOX 8524                          PO BOX 8524,,,,,,,,,,,,
Company              : 103,,,,,,,,,,,,
ICN 22030039   0        0,1, 18-06-2020 , 18-06-2020 ,41,    , SAR ,"-2,205.00","-2,205.00","-2,205.00","-2,205.00",ISI 21832677        ,SR2000026
ICN 22030040   0        0,1, 18-06-2020 , 18-06-2020 ,41,    , SAR ,"-3,640.90","-3,640.90","-3,640.90","-3,640.90",ISI 21930750        ,SR2000039
ICN 22030042   0        0,1, 18-06-2020 , 18-06-2020 ,41,    , SAR ,"-2,756.25","-2,756.25",-131.25,-131.25,ISI 21734230        ,SR2000025
ICN 22030043   0        0,1, 18-06-2020 , 18-06-2020 ,41,    , SAR ,-829.45,-829.45,-829.45,-829.45,ISI 22030256        ,SR2000044
ICN 22030044   0        0,1, 18-06-2020 , 18-06-2020 ,41,    , SAR ,"-6,168.52","-6,168.52","-5,027.79","-5,027.79",ISI21833133         ,SR2000038
ISI 21831733   0        0,1, 31-05-2018 , 29-08-2018 ,700,    , SAR ,"6,449.63","6,449.63","6,449.63","6,449.63",                    ,D01054233
