"Date   : 29-07-20 [10:18, Asi]                        Open Entries by Business Partner                                                                                Page      :    1",,,,,,,,,,,,
Obeikan FLEXIBLE                                                                                                                                                      Company   : 103,,,,,,,,,,,,
Company              From : 000           To   : 999         Business Partner Gr.     From :       To   : ннн       Credit Analyst       From :           To   : ннннннннн,,,,,,,,,,,,
Business Partner     From : CWE003        To   : CWE003      Transaction Type         From :       To   : ннн,,,,,,,,,,,,
Document             From :        0      To   : 99999999    Home Currency                 : SAR Saudi Riyal,,,,,,,,,,,,
Based  on                   Document Date                    Print Parent/Child Relation   : No Parent                 Doubtful Invoices                      : No,,,,,,,,,,,,
Invoice Date         From :               To   : 29-07-2020  Text                          : No                        Print Payment/Receipt Documents        : No,,,,,,,,,,,,
Receipt Date         From :               To   : 29-07-2020  Include Anticipated Payments in Invoice Balance         : No              From    : Not Applicable,,,,,,,,,,,,
Order Related Invoices    : No       None,,,,,,,,,,,,
Order Related Credit Notes: No                               Include Trade Notes in Invoice Balance                  : No              From    : Not Applicable,,,,,,,,,,,,
Cost Invoices             : No                               Anticipated Payments                                    : No              From    : Not Applicable,,,,,,,,,,,,
Cost Credit Notes         : No                               Trade Notes                                             : No              From    : Not Applicable,,,,,,,,,,,,
Normal Invoices           : Yes                              Unallocated Receipts          : Yes,,,,,,,,,,,,
Credit Notes              : Yes                              Advance Receipts              : Yes,,,,,,,,,,,,
Include Fully Paid        : No                               Include Advance Invoice/Payment Request           : Yes,,,,,,,,,,,,
Anticipated Receipts      : No                               From Receipt Procedure Step    : Not Applicable,,,,,,,,,,,,
Trade Notes               : No                               From Receipt Procedure Step    : Not Applicable,,,,,,,,,,,,
Include Anticipated Receipts in Invoice Balance    : No      From Receipt Procedure Step    : Not Applicable,,,,,,,,,,,,
Include Trade Notes in Invoice Balance             : No      From Receipt Procedure Step    : Not Applicable,,,,,,,,,,,,
Sort By         Dimension Type            :  1,,,,,,,,,,,,
____________________________________________________________________________________________________________________________________________________________________________________________,,,,,,,,,,,,
Document                 ,Sales Type  ,Doc. Date   ,Due Date    ,Ovd  ,Prob,Curr.,          Amount,     Amount In SAR,   Balance Amount,  Balance in HC SAR,Customer Invoice/Pmt Doc Type,
Sales Invoices        Business Partner    : CWE003               WESTERN BAKERIES (JEDDAH),,,,,,,,,,,,
                                                                 POBOX 33787                          POBOX 33787,,,,,,,,,,,,
Company              : 103,,,,,,,,,,,,
ISI 22031075   0        0,1, 10-05-2020 , 08-08-2020 ,     ,    , SAR ,"68,304.60","68,304.60","68,304.60","68,304.60",                    ,D01064928
ISI 22031100   0        0,1, 14-05-2020 , 12-08-2020 ,     ,    , SAR ,"43,785.00","43,785.00","43,785.00","43,785.00",                    ,D01064962
